,instance,process,time,value,constraint satisfaction,best known solution
0,att48,MILP,0.06703,67822.0,True,10628
1,att48,MILP,0.26752,12156.0,True,10628
2,att48,MILP,0.40301,10959.0,True,10628
3,att48,MILP,0.4363,10865.0,True,10628
4,att48,MILP,1.56696,10829.0,True,10628
5,att48,MILP,1.5841,10821.0,True,10628
6,att48,MILP,1.67753,10736.0,True,10628
7,att48,MILP,2.04313,10704.0,True,10628
8,att48,MILP,2.13262,10684.0,True,10628
9,att48,MILP,4.13737,10653.0,True,10628
10,att48,MILP,4.27791,10628.0,True,10628
11,att48,MILP,4.32748,10628.0,True,10628
12,att48,MIQP,0.00268,49358.0,True,10628
13,att48,MIQP,13.63871,38022.0,True,10628
14,att48,MIQP,13.6439,34219.0,True,10628
15,att48,MIQP,13.64764,33781.0,True,10628
16,att48,MIQP,13.64993,31051.0,True,10628
17,att48,MIQP,13.65163,26298.0,True,10628
18,att48,MIQP,13.65336,25304.0,True,10628
19,att48,MIQP,13.65505,25279.0,True,10628
20,att48,MIQP,13.65674,24932.0,True,10628
21,att48,MIQP,13.65843,24299.0,True,10628
22,att48,MIQP,13.66013,21361.0,True,10628
23,att48,MIQP,13.66185,20829.0,True,10628
24,att48,MIQP,13.66353,20372.0,True,10628
25,att48,MIQP,13.6652,19787.0,True,10628
26,att48,MIQP,13.66688,19703.0,True,10628
27,att48,MIQP,13.66858,18908.0,True,10628
28,att48,MIQP,13.67027,18836.0,True,10628
29,att48,MIQP,13.67197,17758.0,True,10628
30,att48,MIQP,13.67366,17683.0,True,10628
31,att48,MIQP,14.1024,17527.0,True,10628
32,att48,MIQP,17.72882,17338.0,True,10628
33,att48,MIQP,26.93905,17296.0,True,10628
34,att48,MIQP,27.14288,17251.0,True,10628
35,att48,MIQP,27.22272,17184.0,True,10628
36,att48,MIQP,27.22474,17121.0,True,10628
37,att48,MIQP,27.53436,16985.0,True,10628
38,att48,MIQP,31.61045,16865.0,True,10628
39,att48,MIQP,31.61828,16525.0,True,10628
40,att48,MIQP,31.62706,16418.0,True,10628
41,att48,MIQP,35.10324,16402.0,True,10628
42,att48,MIQP,35.10806,16347.0,True,10628
43,att48,MIQP,35.11193,16237.0,True,10628
44,att48,MIQP,35.11981,16104.0,True,10628
45,att48,MIQP,40.81508,15474.0,True,10628
46,att48,QUBO,0.00357,163652.0,False,10628
47,att48,QUBO,0.7874,24273.95,False,10628
48,att48,QUBO,0.83659,18013.0,True,10628
49,att48,QUBO,0.9343,16731.0,True,10628
50,att48,QUBO,9.90708,16730.0,True,10628
51,att48,QUBO,40.98392,16730.0,True,10628
52,bays29,MILP,0.03421,8057.0,True,2020
53,bays29,MILP,0.03637,5752.0,True,2020
54,bays29,MILP,0.03842,5570.0,True,2020
55,bays29,MILP,0.07454,2457.0,True,2020
56,bays29,MILP,0.1593,2182.0,True,2020
57,bays29,MILP,0.18047,2020.0,True,2020
58,bays29,MILP,0.18296,2020.0,True,2020
59,bays29,MIQP,0.00078,6012.0,True,2020
60,bays29,MIQP,0.68508,5795.0,True,2020
61,bays29,MIQP,0.68579,4482.0,True,2020
62,bays29,MIQP,0.68632,4431.0,True,2020
63,bays29,MIQP,0.68684,4372.0,True,2020
64,bays29,MIQP,0.68736,4333.0,True,2020
65,bays29,MIQP,0.6879,3854.0,True,2020
66,bays29,MIQP,0.68841,3700.0,True,2020
67,bays29,MIQP,0.70288,3540.0,True,2020
68,bays29,MIQP,0.98735,3432.0,True,2020
69,bays29,MIQP,1.00939,3103.0,True,2020
70,bays29,MIQP,1.3192,2985.0,True,2020
71,bays29,MIQP,3.2487,2892.0,True,2020
72,bays29,MIQP,3.74893,2851.0,True,2020
73,bays29,MIQP,3.75132,2838.0,True,2020
74,bays29,MIQP,5.32697,2804.0,True,2020
75,bays29,MIQP,5.32804,2784.0,True,2020
