,instance,process,time,value,constraint satisfaction,best known solution
0,DSJC1000.1,MILP,1.59504,128.0,True,20
1,DSJC1000.1,MILP,3551.82856,128.0,True,20
2,DSJC1000.1,MIQP,118.29858,31.0,True,20
3,DSJC1000.1,MIQP,559.72624,30.0,True,20
4,DSJC1000.1,MIQP,569.65962,29.0,True,20
5,DSJC1000.1,MIQP,3551.12772,29.0,True,20
6,DSJC1000.1,QUBO,0.1222,2000.0,False,20
7,DSJC1000.1,QUBO,66.95456,56.0,True,20
8,DSJC1000.1,QUBO,79.2236,48.0,True,20
9,DSJC1000.1,QUBO,105.11561,31.0,True,20
10,DSJC1000.1,QUBO,3556.22989,31.0,True,20
11,DSJC125.1,MILP,0.00445,24.0,True,5
12,DSJC125.1,MILP,3.31506,21.0,True,5
13,DSJC125.1,MILP,3.32246,8.0,True,5
14,DSJC125.1,MILP,3.33892,7.0,True,5
15,DSJC125.1,MILP,17.50614,6.0,True,5
16,DSJC125.1,MILP,34.59849,6.0,True,5
17,DSJC125.1,MIQP,0.41548,23.0,True,5
18,DSJC125.1,MIQP,0.42184,22.0,True,5
19,DSJC125.1,MIQP,0.42532,21.0,True,5
20,DSJC125.1,MIQP,0.43179,8.0,True,5
21,DSJC125.1,MIQP,5.94494,7.0,True,5
22,DSJC125.1,MIQP,5.96145,6.0,True,5
23,DSJC125.1,MIQP,34.63963,6.0,True,5
24,DSJC125.1,QUBO,0.00138,250.0,False,5
25,DSJC125.1,QUBO,0.21489,11.0,True,5
26,DSJC125.1,QUBO,0.25304,9.0,True,5
27,DSJC125.1,QUBO,0.27624,8.0,True,5
28,DSJC125.1,QUBO,15.62742,7.0,True,5
29,DSJC125.1,QUBO,34.77828,7.0,True,5
30,DSJC250.1,MILP,0.02149,39.0,True,8
31,DSJC250.1,MILP,15.62147,35.0,True,8
32,DSJC250.1,MILP,15.67353,13.0,True,8
33,DSJC250.1,MILP,15.82489,12.0,True,8
34,DSJC250.1,MILP,78.92673,12.0,True,8
35,DSJC250.1,MIQP,2.89692,13.0,True,8
36,DSJC250.1,MIQP,21.83377,12.0,True,8
37,DSJC250.1,MIQP,21.94616,11.0,True,8
38,DSJC250.1,MIQP,80.45039,11.0,True,8
39,DSJC250.1,QUBO,0.00615,500.0,False,8
40,DSJC250.1,QUBO,1.28164,23.0,True,8
41,DSJC250.1,QUBO,1.44023,15.0,True,8
42,DSJC250.1,QUBO,1.79278,12.0,True,8
43,DSJC250.1,QUBO,79.78843,12.0,True,8
44,DSJC500.1,MILP,0.14859,69.0,True,12
