instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff
C1000.9,tuning,2,1.66588,-67.0,0.1,2.0,True,1
C1000.9,tuned,2,3.29841,-67.0,0.1,1.0,True,1
C1000.9,tuning,2,1.63163,-67.0,0.1,2.0,True,1
C1000.9,tuned,5,3.7708,-67.0,0.075,0.5,True,1
C1000.9,tuning,2,1.64662,-67.0,0.1,2.0,True,1
C1000.9,tuned,10,4.52393,-68.0,0.0525,3.0,True,1
C1000.9,tuning,2,1.65432,-67.0,0.1,2.0,True,1
C1000.9,tuned,20,6.03774,-68.0,0.005,5.0,True,1
C1000.9,tuning,2,1.66648,-67.0,0.1,2.0,True,1
C1000.9,tuned,50,10.6594,-68.0,0.1,2.0,True,1
C2000.5,tuning,2,2.04476,-15.0,0.005,1.0,True,1
C2000.5,tuned,2,4.00535,-16.0,0.005,1.0,True,1
C2000.5,tuning,2,1.99605,-15.0,0.005,1.0,True,1
C2000.5,tuned,5,4.85839,-16.0,0.006,5.5,True,1
C2000.5,tuning,2,1.95201,-15.0,0.005,1.0,True,1
C2000.5,tuned,10,6.37911,-16.0,0.0075,5.5,True,1
C2000.5,tuning,2,1.998,-15.0,0.005,1.0,True,1
C2000.5,tuned,20,9.55192,-16.0,0.006,5.0,True,1
C2000.5,tuning,2,2.08669,-15.0,0.005,1.0,True,1
C2000.5,tuned,50,19.0845,-16.0,0.002,10.0,True,1
C2000.9,tuning,2,1.99875,-74.0,0.05,5.0,True,1
C2000.9,tuned,2,3.90526,-77.0,0.035,2.5,True,1
C2000.9,tuning,2,2.10501,-74.0,0.05,5.0,True,1
C2000.9,tuned,5,5.0395,-78.0,0.03,5.0,True,1
C2000.9,tuning,2,2.1189,-74.0,0.05,5.0,True,1
C2000.9,tuned,10,6.63086,-77.0,0.035,5.0,True,1
C2000.9,tuning,2,1.97856,-74.0,0.05,5.0,True,1
C2000.9,tuned,20,9.57229,-78.0,0.005,10.0,True,1
C2000.9,tuning,2,2.14115,-74.0,0.05,5.0,True,1
C2000.9,tuned,50,19.037,-78.0,0.015,5.0,True,1
C250.9,tuning,2,1.40091,-44.0,0.2,2.0,True,1
C250.9,tuned,2,2.85904,-44.0,0.125,3.5,True,1
C250.9,tuning,2,1.45903,-44.0,0.2,2.0,True,1
C250.9,tuned,5,2.97995,-44.0,0.05,3.0,True,1
C250.9,tuning,2,1.60869,-44.0,0.2,2.0,True,1
C250.9,tuned,10,3.29919,-44.0,0.2,2.0,True,1
C250.9,tuning,2,1.4845,-44.0,0.2,2.0,True,1
C250.9,tuned,20,3.5733,-44.0,0.2,2.0,True,1
C250.9,tuning,2,1.40952,-44.0,0.2,2.0,True,1
C250.9,tuned,50,4.67749,-44.0,0.2,2.0,True,1
C4000.5,tuning,2,3.58923,-16.0,0.005,1.0,True,1
C4000.5,tuned,2,7.89032,-17.0,0.006,2.5,True,1
C4000.5,tuning,2,3.51007,-16.0,0.005,1.0,True,1
C4000.5,tuned,5,12.20151,-17.0,0.005,1.5,True,1
C4000.5,tuning,2,3.55795,-16.0,0.005,1.0,True,1
